layer0_smarts,layer1_smarts,layer2_smarts,layer3_smarts,layer4_smarts
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[n+0,CH3,CH2,O,s,o,F,N+0H0,S,Cl,NH2,NH,N+,C,N+0,c,CH,CH0]):[#6]([#1]):[#6](!=!@[NH2,NH,N+]):[#6](!=!@[NH2,NH,N+]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[s,c,o,S,F,O,N+0H0,C,Cl,NH2,NH,N+,N+0,CH,CH0,n+0,CH3,CH2]):[#6]([#1]):[#6](!=!@[O]):[#6](:[o]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[C,CH3,CH2,n+0,Cl,N+0,c,o,CH,CH0,F,S,O,s,N+0H0,NH2,NH,N+]):[#6]([#1]):[#6](!=!@[NH2,NH,N+]):[#6](!=@[S]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[O,NH2,NH,N+,N+0,CH,CH0,S,c,n+0,CH3,CH2,s,Cl,o,F,N+0H0,C]):[#6]([#1]):[#6](:[o]):[#6](:[o]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[c,F,O,NH2,NH,N+,C,CH,CH0,S,n+0,CH3,CH2,s,N+0,o,N+0H0,Cl]):[#6]([#1]):[#6](!=!@[O]):[#6](-[Cl]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[s,Cl,o,c,F,N+0H0,C,S,O,NH2,NH,N+,N+0,CH,CH0,n+0,CH3,CH2]):[#6]([#1]):[#6](:[o]):[#6](!=@[C]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[s,o,S,F,N+0H0,O,Cl,c,NH2,NH,N+,C,N+0,CH,CH0,n+0,CH3,CH2]):[#6]([#1]):[#6](!=@[O]):[#6](!=!:[n+0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[o,c,CH,CH0,S,n+0,O,Cl,F,N+0H0,NH2,NH,N+,C,CH3,CH2,s,N+0]):[#6]([#1]):[#6](:[o]):[#6](-[Cl]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[O,s,Cl,c,F,N+0H0,NH2,NH,N+,C,CH3,CH2,S,n+0,N+0,o,CH,CH0]):[#6]([#1]):[#6](:[o]):[#6](!=!@[N+0H0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](-[Cl,c,O,NH2,NH,N+,C,N+0,CH,CH0,S,n+0,CH3,CH2,s,o,F,N+0H0]):[#6]([#1]):[#6](-[Cl]):[#6](!=@[C]):1"
